Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
22-Jun-23,18771.25,-0.453946444,,1.222992608,-1,,,02-07-2013,5857.549805,1.257710177,-1,,,,,,,,
23-Jun-23,18665.5,-0.563361524,,1.229921513,-1,,,03-07-2013,5770.899902,1.27659466,-1,,,,,,,,
26-Jun-23,18691.2,0.137687177,,1.228230397,-1,,,04-07-2013,5836.950195,1.262148854,-1,,,,,,,,
27-Jun-23,18817.4,0.675184044,,1.219993198,-1,,,05-07-2013,5867.899902,1.255491764,-1,,,,,,,,
28-Jun-23,18972.1,0.82211145,,1.210045277,-1,,,08-07-2013,5811.549805,1.267665295,-1,,,,,,,,
30-Jun-23,19189.05,1.143521276,,1.196364593,-1,,,09-07-2013,5859,1.257398874,-1,,,,,,,,
03-Jul-23,19322.55,0.695709272,,1.188098879,-1,,,10-07-2013,5816.700195,1.266542843,-1,,,,,,,,
04-Jul-23,19389,0.343898709,,1.184027026,-1,,,11-07-2013,5935.100098,1.241276453,-1,,,,,,,,
05-Jul-23,19398.5,0.048996854,,1.183447174,-1,,,12-07-2013,6009,1.226010984,-1,,,,,,,,
06-Jul-23,19497.3,0.509317731,,1.177450211,-1,,,15-07-2013,6030.799805,1.221579266,-1,,,,,,,,
07-Jul-23,19331.8,-0.84883548,,1.18753039,-1,,,16-07-2013,5955.25,1.237076529,-1,,,,,,,,
10-Jul-23,19355.9,0.12466506,,1.186051798,-1,,,17-07-2013,5973.299805,1.233338396,-1,,,,,,,,
11-Jul-23,19439.4,0.431393012,,1.180957231,-1,,,18-07-2013,6038.049805,1.220112493,-1,,,,,,,,
12-Jul-23,19384.3,-0.283444962,,1.18431411,-1,,,19-07-2013,6029.200195,1.221903364,-1,,,,,,,,
13-Jul-23,19413.75,0.151927075,,1.182517546,-1,,,22-07-2013,6031.799805,1.221376743,-1,,,,,,,,
14-Jul-23,19564.5,0.776511493,,1.173405914,-1,,,23-07-2013,6077.799805,1.212132718,-1,,,,,,,,
17-Jul-23,19711.45,0.751105318,,1.164658105,-1,,,24-07-2013,5990.5,1.229797179,-1,,,,,,,,
18-Jul-23,19749.25,0.191766714,,1.162428953,-1,,,25-07-2013,5907.5,1.247075751,-1,,,,,,,,
19-Jul-23,19833.15,0.424826259,,1.15751154,-1,,,26-07-2013,5886.200195,1.25158842,-1,,,,,,,,
